[06:57:06]	Г@H3NK has connected.
[21:24:47]	MPF-I4.51977 entered observer.
[21:24:51]	MPF-I4.51977 exited observer at their location.
[21:24:52]	Артем Каллов exited observer at their location.
[21:24:57]	Артем Каллов entered observer.
[21:24:58]	MPF-I4.51977 has taken 111.49172973633 damage from Артем Каллов using ix_hands leaving them at -49 HP!
[21:24:58]	MPF-I4.51977 has taken 111 damage from Артем Каллов.
[21:24:58]	MPF-I4.51977 was killed by Артем Каллов using ix_hands
[21:24:58]	Артем Каллов has killed MPF-I4.51977 with ix_hands.
[21:24:58]	Артем Каллов exited observer at their location.
[21:25:00]	Артем Каллов entered observer.
[21:25:03]	Артем Каллов exited observer at their location.
[21:25:09]	Артем Каллов entered observer.
[21:25:18]	MPF-I4.51977 entered observer.
[21:25:32]	MPF-I4.51977 exited observer at their location.
[21:25:54]	MPF-I4.51977 has spawned a 'Entity [1068][ix_cidterminal]'.
[21:26:46]	MPF-I4.51977 entered observer.
[21:27:02]	MPF-I4.51977 exited observer at their location.
[21:27:09]	MPF-I4.51977 ran 'drop' on item 'FAMAS' (#90)
[21:27:09]	MPF-I4.51977 has lost a 'FAMAS' #90.
[21:27:20]	MPF-I4.51977 entered observer.
[21:27:24]	MPF-I4.51977 exited observer at their location.
[21:27:28]	Артем Каллов exited observer at their location.
[21:27:34]	MPF-I4.51977 has gained a 'M3 Super 90' #201.
[21:27:34]	MPF-I4.51977 used command '/CharGiveItem MPF m3'.
[21:27:34]	MPF-I4.51977 has taken 12.607493400574 damage from Артем Каллов using arccw_ruger leaving them at 97 HP!
[21:27:34]	MPF-I4.51977 has taken 13 damage from Артем Каллов.
[21:27:34]	Артем Каллов entered observer.
[21:27:37]	Артем Каллов exited observer at their location.
[21:27:38]	MPF-I4.51977 has taken 12.056645393372 damage from Артем Каллов using arccw_ruger leaving them at 95 HP!
[21:27:38]	MPF-I4.51977 has taken 12 damage from Артем Каллов.
[21:27:38]	MPF-I4.51977 ran 'Equip' on item 'M3 Super 90' (#201)
[21:27:39]	Артем Каллов entered observer.
[21:27:51]	MPF-I4.51977 has spawned a 'Entity [1107][arccw_ammo_buckshot_large]'.
[21:27:53]	MPF-I4.51977 entered observer.
[21:27:55]	MPF-I4.51977 exited observer at their location.
[21:28:01]	MPF-I4.51977 entered observer.
[21:28:03]	MPF-I4.51977 exited observer at their location.
[21:28:03]	MPF-I4.51977 entered observer.
[21:28:03]	MPF-I4.51977 exited observer at their location.
[21:28:06]	MPF-I4.51977 has taken 14.438371658325 damage from Артем Каллов using arccw_ruger leaving them at 92 HP!
[21:28:06]	MPF-I4.51977 has taken 14 damage from Артем Каллов.
[21:28:27]	MPF-I4.51977 has taken 13.769490242004 damage from Артем Каллов using arccw_ruger leaving them at 89 HP!
[21:28:27]	MPF-I4.51977 has taken 14 damage from Артем Каллов.
[21:28:36]	MPF-I4.51977 has gained 100 tokens.
[21:28:38]	MPF-I4.51977 has taken 5 damage from Артем Каллов using ix_hands leaving them at 88 HP!
[21:28:38]	MPF-I4.51977 has taken 5 damage from Артем Каллов.
[21:28:39]	MPF-I4.51977 has taken 5 damage from Артем Каллов using ix_hands leaving them at 87 HP!
[21:28:39]	MPF-I4.51977 has taken 5 damage from Артем Каллов.
[21:28:40]	MPF-I4.51977 has taken 5 damage from Артем Каллов using ix_hands leaving them at 86 HP!
[21:28:40]	MPF-I4.51977 has taken 5 damage from Артем Каллов.
[21:28:47]	MPF-I4.51977 entered observer.
[21:28:56]	MPF-I4.51977 entered observer.
[21:29:07]	Артем Каллов has spawned a 'NPC [1172][npc_citizen]'.
[21:29:13]	MPF-I4.51977 exited observer at their location.
[21:29:19]	Артем Каллов has spawned a 'NPC [1172][npc_citizen]'.
[21:29:24]	MPF-I4.51977 has taken 11 damage from npc_citizen leaving them at 84 HP!
[21:29:24]	MPF-I4.51977 has taken 12 damage from npc_citizen.
[21:29:24]	MPF-I4.51977 has taken 11 damage from npc_citizen leaving them at 82 HP!
[21:29:24]	MPF-I4.51977 has taken 12 damage from npc_citizen.
[21:29:29]	Артем Каллов has spawned a 'NPC [1107][npc_citizen]'.
[21:29:33]	Артем Каллов has spawned a 'NPC [1197][npc_citizen]'.
[21:29:36]	Артем Каллов has spawned a 'NPC [1390][npc_citizen]'.
[21:29:37]	Артем Каллов has spawned a 'NPC [1376][npc_citizen]'.
[21:29:38]	Артем Каллов has spawned a 'NPC [1384][npc_citizen]'.
[21:29:40]	Артем Каллов has spawned a 'NPC [1371][npc_citizen]'.
[21:29:41]	Артем Каллов has spawned a 'NPC [1394][npc_citizen]'.
[21:29:41]	Артем Каллов has spawned a 'NPC [1505][npc_citizen]'.
[21:29:49]	MPF-I4.51977 entered observer.
[21:29:49]	MPF-I4.51977 exited observer at their location.
[21:30:14]	MPF-I4.51977 has taken 80.78946685791 damage from Артем Каллов using ix_hands leaving them at 19 HP!
[21:30:14]	MPF-I4.51977 has taken 81 damage from Артем Каллов.
[21:30:44]	MPF-I4.51977 has taken 105.75523376465 damage from Артем Каллов using ix_hands leaving them at -87 HP!
[21:30:44]	MPF-I4.51977 has taken 106 damage from Артем Каллов.
[21:30:44]	MPF-I4.51977 was killed by Артем Каллов using ix_hands
[21:30:44]	Артем Каллов has killed MPF-I4.51977 with ix_hands.
[21:31:01]	MPF-I4.51977 entered observer.
[21:31:08]	MPF-I4.51977 exited observer at their location.
[21:31:11]	MPF-I4.51977 has spawned a 'Entity [1172][ix_cidterminal]'.
[21:31:24]	MPF-I4.51977 has taken 64.374771118164 damage from Артем Каллов using ix_hands leaving them at 87 HP!
[21:31:24]	MPF-I4.51977 has taken 64 damage from Артем Каллов.
[21:32:30]	MPF-I4.51977 entered observer.
[21:32:36]	MPF-I4.51977 exited observer at their location.
[21:32:37]	MPF-I4.51977 entered observer.
[21:32:40]	MPF-I4.51977 exited observer at their location.
[21:32:59]	MPF-I4.51977 entered observer.
[21:33:00]	MPF-I4.51977 exited observer at their location.
[21:33:05]	MPF-I4.51977 has taken 234 damage from worldspawn leaving them at -147 HP!
[21:33:05]	MPF-I4.51977 has taken 234 damage from worldspawn.
[21:33:05]	MPF-I4.51977 was killed by an worldspawn
[21:33:05]	worldspawn has killed MPF-I4.51977.
[21:33:15]	Артем Каллов exited observer at their location.
[21:33:18]	Артем Каллов has taken 47 damage from worldspawn leaving them at 53 HP!
[21:33:18]	Артем Каллов has taken 47 damage from worldspawn.
[21:33:20]	Артем Каллов entered observer.
[21:33:36]	MPF-I4.51977 has gained 100 tokens.
[21:33:44]	MPF-I4.51977 used command '/ActStand'.
[21:33:48]	MPF-I4.51977 used command '/ActDeny'.
[21:33:52]	MPF-I4.51977 used command '/ActDeny'.
[21:34:03]	MPF-I4.51977 has taken 94.390899658203 damage from Артем Каллов using weapon_physgun leaving them at 81 HP!
[21:34:03]	MPF-I4.51977 has taken 94 damage from Артем Каллов.
[23:29:26]	Г@H3NK has connected.
[23:30:18]	Г@H3NK loaded the character 'Александр Климов'
[23:33:45]	Александр Климов has disabled persistence for 'models/props_combine/combine_interface002.mdl'.
[23:33:46]	Александр Климов has disabled persistence for 'models/props_combine/combine_intmonitor003.mdl'.
[23:33:54]	Александр Климов has disabled persistence for 'models/props_combine/combine_intwallunit.mdl'.
[23:33:56]	Александр Климов has enabled persistence for 'models/props_combine/combine_intwallunit.mdl'.
[23:33:57]	Александр Климов has enabled persistence for 'models/props_combine/combine_intmonitor003.mdl'.
[23:34:59]	Александр Климов entered observer.
[23:35:00]	Александр Климов exited observer at their location.
[23:35:11]	Александр Климов ran 'drop' on item 'ID Гражданина' (#70)
[23:35:11]	Александр Климов has lost a 'ID Гражданина' #70.
[23:35:29]	Александр Климов has enabled persistence for 'models/props_combine/combine_interface002.mdl'.
[23:35:57]	Александр Климов has spawned 'models/hunter/blocks/cube075x1x1.mdl'.
[23:36:06]	Александр Климов has spawned 'models/hunter/blocks/cube075x2x1.mdl'.
[23:36:06]	Александр Климов has taken 50 damage from prop_physics.
[23:36:06]	Александр Климов has taken 5 damage from prop_physics.
[23:36:06]	Александр Климов has taken 5 damage from prop_physics.
[23:36:08]	Александр Климов entered observer.
[23:36:12]	Александр Климов has spawned 'models/hunter/blocks/cube05x1x05.mdl'.
[23:36:13]	Александр Климов has spawned 'models/hunter/blocks/cube075x1x1.mdl'.
[23:36:16]	Александр Климов has spawned 'models/hunter/blocks/cube1x1x1.mdl'.
[23:36:19]	Александр Климов has spawned 'models/hunter/blocks/cube1x150x1.mdl'.
[23:36:28]	Александр Климов exited observer at their location.
[23:38:05]	Александр Климов has spawned 'models/props_combine/breenconsole.mdl'.
[23:38:15]	Александр Климов has spawned 'models/props_combine/combine_interface001a.mdl'.
[23:39:11]	Александр Климов has spawned a 'Entity [1073][ix_forcefield]'.
[23:39:14]	Александр Климов has spawned a 'Entity [1073][ix_forcefield]'.
[23:39:22]	Г@H3NK loaded the character 'MPF-I4.51977'
[23:39:23]	MPF-I4.51977 entered observer.
[23:39:39]	MPF-I4.51977 exited observer at their location.
[23:39:39]	MPF-I4.51977 entered observer.
[23:39:48]	MPF-I4.51977 exited observer at their location.
[23:39:50]	MPF-I4.51977 entered observer.
[23:39:58]	MPF-I4.51977 exited observer at their location.
[23:40:22]	MPF-I4.51977 has spawned 'models/props_combine/introomarea.mdl'.
[23:40:43]	MPF-I4.51977 has spawned 'models/props_combine/railing_corner_inside.mdl'.
[23:41:13]	MPF-I4.51977 has spawned 'models/props_combine/combine_teleportplatform.mdl'.
[23:41:16]	MPF-I4.51977 has spawned 'models/props_combine/combine_smallmonitor001.mdl'.
[23:41:42]	MPF-I4.51977 has spawned 'models/props_combine/combine_barricade_bracket01a.mdl'.
[23:41:50]	MPF-I4.51977 entered observer.
[23:41:52]	MPF-I4.51977 exited observer at their location.
[23:41:53]	MPF-I4.51977 entered observer.
[23:41:54]	MPF-I4.51977 exited observer at their location.
[23:41:55]	MPF-I4.51977 entered observer.
[23:42:55]	MPF-I4.51977 exited observer at their location.
[23:43:04]	MPF-I4.51977 has spawned 'models/hunter/triangles/075x075mirrored.mdl'.
[23:43:09]	MPF-I4.51977 has spawned 'models/hunter/triangles/075x075mirrored.mdl'.
[23:43:16]	MPF-I4.51977 has spawned 'models/hunter/plates/plate4x6.mdl'.
[23:43:19]	MPF-I4.51977 has spawned 'models/hunter/plates/plate3x4.mdl'.
[23:43:24]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x105.mdl'.
[23:43:41]	MPF-I4.51977 has spawned 'models/hunter/triangles/2x2.mdl'.
[23:44:07]	MPF-I4.51977 has spawned 'models/hunter/plates/plate025x125.mdl'.
[23:44:22]	MPF-I4.51977 has gained 100 tokens.
[23:44:23]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x2.mdl'.
[23:44:30]	MPF-I4.51977 has spawned 'models/hunter/plates/plate1x3.mdl'.
[23:44:36]	MPF-I4.51977 has spawned 'models/hunter/plates/plate1x2.mdl'.
[23:45:49]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x3.mdl'.
[23:46:12]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x1.mdl'.
[23:46:26]	MPF-I4.51977 entered observer.
[23:46:27]	MPF-I4.51977 exited observer at their location.
[23:46:30]	MPF-I4.51977 entered observer.
[23:46:31]	MPF-I4.51977 exited observer at their location.
[23:46:37]	MPF-I4.51977 has spawned 'models/combine_camera/combine_camera.mdl'.
[23:46:44]	MPF-I4.51977 has spawned 'models/combine_turrets/ceiling_turret.mdl'.
[23:46:46]	MPF-I4.51977 has spawned 'models/combine_turrets/ground_turret.mdl'.
[23:46:57]	MPF-I4.51977 has spawned 'models/props_combine/combine_light001a.mdl'.
[23:47:15]	MPF-I4.51977 has spawned 'models/props_combine/combinecamera001.mdl'.
[23:47:21]	MPF-I4.51977 has spawned 'models/props_combine/combine_door01.mdl'.
[23:47:30]	MPF-I4.51977 has spawned 'models/props_combine/combine_bunker01.mdl'.
[23:47:32]	MPF-I4.51977 has spawned 'models/props_combine/combine_bunker_shield01a.mdl'.
[23:47:36]	MPF-I4.51977 has spawned 'models/props_combine/combine_barricade_med01b.mdl'.
[23:47:39]	MPF-I4.51977 has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[23:47:40]	MPF-I4.51977 has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[23:47:49]	MPF-I4.51977 has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[23:48:20]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x3.mdl'.
[23:48:22]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x1.mdl'.
[23:48:23]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x105.mdl'.
[23:48:24]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate025x125.mdl'.
[23:48:25]	MPF-I4.51977 has enabled persistence for 'models/hunter/triangles/075x075mirrored.mdl'.
[23:48:25]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate1x2.mdl'.
[23:48:26]	MPF-I4.51977 has enabled persistence for 'models/hunter/triangles/2x2.mdl'.
[23:48:38]	MPF-I4.51977 has spawned 'models/props_combine/combineinnerwallcluster1024_001a.mdl'.
[23:48:47]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x2.mdl'.
[23:48:53]	MPF-I4.51977 has spawned 'models/hunter/plates/plate1x3.mdl'.
[23:48:58]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x3.mdl'.
[23:49:01]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x2.mdl'.
[23:49:16]	MPF-I4.51977 has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[23:49:22]	MPF-I4.51977 has gained 100 tokens.
[23:49:59]	MPF-I4.51977 has spawned 'models/hunter/triangles/1x1mirrored.mdl'.
[23:50:18]	MPF-I4.51977 has spawned 'models/hunter/geometric/tri1x1eq.mdl'.
[23:50:44]	MPF-I4.51977 has spawned 'models/hunter/triangles/1x1x1carved025.mdl'.
[23:51:03]	MPF-I4.51977 has enabled persistence for 'models/hunter/triangles/1x1x1carved025.mdl'.
[23:51:09]	MPF-I4.51977 has enabled persistence for 'models/props_combine/combine_light001a.mdl'.
[23:51:12]	MPF-I4.51977 has enabled persistence for 'models/props_combine/combine_barricade_short01a.mdl'.
[23:51:34]	MPF-I4.51977 has spawned 'models/hunter/plates/plate3x4.mdl'.
[23:51:54]	MPF-I4.51977 entered observer.
[23:51:55]	MPF-I4.51977 exited observer at their location.
[23:52:12]	MPF-I4.51977 entered observer.
[23:52:14]	MPF-I4.51977 exited observer at their location.
[23:52:20]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x4.mdl'.
[23:52:58]	MPF-I4.51977 has disabled persistence for 'models/props_combine/combine_interface002.mdl'.
[23:53:01]	MPF-I4.51977 has enabled persistence for 'models/props_combine/combine_interface002.mdl'.
[23:53:37]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x2.mdl'.
[23:53:42]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x2.mdl'.
[23:53:44]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x4.mdl'.
[23:54:22]	MPF-I4.51977 has gained 100 tokens.
[23:54:34]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x4.mdl'.
[23:54:35]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x4.mdl'.
[23:54:36]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x2.mdl'.
[23:54:37]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate075x2.mdl'.
[23:54:39]	MPF-I4.51977 has enabled persistence for 'models/hunter/geometric/tri1x1eq.mdl'.
[23:54:40]	MPF-I4.51977 has enabled persistence for 'models/hunter/plates/plate3x4.mdl'.
[23:54:42]	MPF-I4.51977 has enabled persistence for 'models/hunter/triangles/1x1mirrored.mdl'.
[23:54:48]	MPF-I4.51977 has enabled persistence for 'models/props_combine/combine_interface001a.mdl'.
[23:55:24]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x105.mdl'.
[23:55:30]	MPF-I4.51977 has spawned 'models/hunter/plates/plate1x2.mdl'.
[23:55:35]	MPF-I4.51977 has spawned 'models/hunter/plates/plate075x105.mdl'.
[23:55:43]	MPF-I4.51977 has spawned 'models/hunter/plates/plate1x2.mdl'.
[23:55:54]	MPF-I4.51977 entered observer.
[23:55:55]	MPF-I4.51977 exited observer at their location.
[23:59:22]	MPF-I4.51977 has gained 100 tokens.
